 24 -1.3862943611198906 {da7aa0eafa0af8fe09f370a1e502767c,13fdecdd67908944914f0dc7655cb079,a94d0a41a0726663b117bf2886aada34,c50a7d7e8aee842c8290f4443c45c2a5,4a554b88320fe60ec46ef9d8b407a94e,776c949bbe02abc97b887f3cd921ec91,}
coneygre 2 -0.6931471805599453 {9e48219b0f3a8ecd0255bbc8b3fd01e7,}
bad 2 -0.6931471805599453 {c9f51f6c52ca5825fadbb639c9886cc7,}
scrapheap 2 -0.6931471805599453 {b2c2b6f7e5f387f2c3c58c1442dbeec1,}
nerv 4 -0.6931471805599453 {d4f6a813c68303fcbb1c6259e8a4669c,f586fbc827d29c29fa1811c888cda09f,}
fighting 2 -0.6931471805599453 {e0cc4d39d3b5b9ae53a9fcfd9fd2640c,}
bal 2 -0.6931471805599453 {21864981a37c6664e201f47d4d1a702b,}
tun 2 -0.6931471805599453 {26b9b1544474525e7de17688d2237802,}
borthwick 2 -0.6931471805599453 {4040672786e30bfe43f206db72bcb446,}
viewing 2 -0.6931471805599453 {df2e22dc011c5f32df53d60973798acd,}
shin 2 -0.6931471805599453 {21864981a37c6664e201f47d4d1a702b,}
offer 2 -0.6931471805599453 {df2e22dc011c5f32df53d60973798acd,}
dutch 2 -0.6931471805599453 {540cd77abefe37a48f3c7640d46ee897,}
path 2 -0.6931471805599453 {da7aa0eafa0af8fe09f370a1e502767c,}
bank 2 -0.6931471805599453 {83f704c10f7ab2687efda937c1ecc3a1,}
trio 2 -0.6931471805599453 {c50a7d7e8aee842c8290f4443c45c2a5,}
favoured 2 -0.6931471805599453 {9e48219b0f3a8ecd0255bbc8b3fd01e7,}
rac 2 -0.6931471805599453 {ec02e13dc31c98db8911a5efc197a943,}
draft 2 -0.6931471805599453 {a65e7cc47deef437b5a488ca23b94514,}
friend 2 -0.6931471805599453 {83f704c10f7ab2687efda937c1ecc3a1,}
coaching 4 -0.6931471805599453 {d8e8ef2e1f1b7af67aa79bec9924fbfe,c50a7d7e8aee842c8290f4443c45c2a5,}
injury 2 -0.6931471805599453 {62cf689a8c9ed705ff1b34023a75c18b,}
investigated 2 -0.6931471805599453 {2097ba3ba0c3df5925a55c06667b6ee5,}
gabriel 4 -0.6931471805599453 {8ea8888f290327430a10e16c803f8aea,b2c2b6f7e5f387f2c3c58c1442dbeec1,}
past 2 -0.6931471805599453 {75a1937faf0808e50acaf4c00c3acf66,}
shock 2 -0.6931471805599453 {de651deb380cec460a13d2d454d5e452,}
want 4 -0.6931471805599453 {f1eda0d27ff74a7258b73700f9120f94,b11d8ebe8e64c8c6ec61db990640a546,}
bill 2 -0.6931471805599453 {c50a7d7e8aee842c8290f4443c45c2a5,}
them 2 -0.6931471805599453 {26b9b1544474525e7de17688d2237802,}
something 2 -0.6931471805599453 {de651deb380cec460a13d2d454d5e452,}
watchful 2 -0.6931471805599453 {f586fbc827d29c29fa1811c888cda09f,}
eye 2 -0.6931471805599453 {f586fbc827d29c29fa1811c888cda09f,}
mission 2 -0.6931471805599453 {f516badd6af6875b9c75add9d14b187e,}
